platform,period_or_status,observable_count_or_id,format,creative_theme,public_evidence,interpretation_boundary,source_url,accessed_at
Google Ads,"Any time, United States","~700 ads on verified Kitsch LLC advertiser page",Mixed,Advertiser inventory,"Verified legal name Kitsch LLC; located in United States","Approximate inventory includes variations and does not reveal spend, targeting, performance or ROAS",https://adstransparency.google.com/advertiser/AR09480320723080708097?region=US,2026-09-08
Google Ads,2025 United States,"~400 ads returned",Mixed,Historical inventory,"Custom filter Jan 1-Dec 31 2025","Count is approximate and is not a count of distinct concepts or campaigns",https://adstransparency.google.com/advertiser/AR09480320723080708097?region=US&start-date=2025-01-01&end-date=2025-12-31,2026-09-08
Google Ads,"2026 YTD through Sep 8","~600 ads returned",Mixed,Current-year inventory,"Custom filter Jan 1-Sep 8 2026","Count is approximate and cannot be added to 2025 because creative may persist across periods",https://adstransparency.google.com/advertiser/AR09480320723080708097?region=US&start-date=2026-01-01&end-date=2026-09-08,2026-09-08
Google Ads,"Present in 2025 filter; last shown Sep 8 2026",CR00373618526474207233,Search with image asset,Hair-growth category capture,"Kitsch Hair Growth Products; Rice Water Shampoo Bar asset; review/rating/return proof","Persistence is a longevity signal—not proof of efficiency",https://adstransparency.google.com/advertiser/AR09480320723080708097/creative/CR00373618526474207233?region=US,2026-09-08
Google Ads,"Present in 2025 filter; last shown Sep 8 2026",CR12400881115512963073,Product listing,Rice Water Shampoo Bar,"Product title and pack shot align to hair-growth intent","Visibility does not disclose clicks, conversion or margin",https://adstransparency.google.com/advertiser/AR09480320723080708097/creative/CR12400881115512963073?region=US,2026-09-08
Google Ads,"Last shown Sep 8 2026",CR09942174267409956865,Responsive search,Claw clips evergreen and promotion,"Three variations include category and 30%-off headline treatments plus merchant proof","Creative variations do not disclose incremental promotional lift",https://adstransparency.google.com/advertiser/AR09480320723080708097/creative/CR09942174267409956865?region=US,2026-09-08
Meta Ads,Active,1774860456878244,Video 51s,Air Dry Cream problem-to-mechanism,"Started Jun 5 2026; frizz hook; zero heat; ingredient support","Active status and duration do not disclose reach, spend or sales",https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Kitsch&search_type=keyword_unordered,2026-09-08
Meta Ads,Active,2152225562292076,Video 36s,Hair perfume education,"Started Jun 5 2026; patented odor-eliminating technology; between-wash occasion; scent choice","Creative structure is observable; performance is not",https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Kitsch&search_type=keyword_unordered,2026-09-08
Meta Ads,Active,1336829075084639,Video 71s,Shampoo-and-conditioner claim stack,"Started Jun 17 2026; five-wash volume claim; multiple versions","Claims require internal substantiation and performance validation",https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Kitsch&search_type=keyword_unordered,2026-09-08
Meta Ads,"Inactive Apr 20-May 19 2026",1351444956814929,Video 54s,Leave-in testimonial and quantified proof,"Customer testimonial; 35% softness claim; four ads used creative/text","Reuse count describes library structure—not reach or winning status",https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Kitsch&search_type=keyword_unordered,2026-09-08
Meta Ads,"Inactive Apr 4-May 19 2026",1251417430411508,Video 73s,Heatless compressed promise,"0% Heat; 0% Damage; 0% Effort; three ads used creative/text","Short flight and reuse are signals—not proof of outcome",https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Kitsch&search_type=keyword_unordered,2026-09-08
