product,franchise,channel,displayed_units,unit_window,observed_price_usd,gross_retail_sales_value_proxy_usd,signal_date,confidence
All Lengths Adjustable Satin Shower Cap,Shower,TikTok Shop,166000,lifetime displayed,21.12,3505920,2026-09-08,medium
Hair Perfume Discovery Set,Fragrance,TikTok Shop,116100,lifetime displayed,14.62,1697382,2026-09-08,medium
Smoothing Air Dry Cream,Styling,TikTok Shop,87400,lifetime displayed,15.44,1349456,2026-09-08,medium
Whoville Cookies Hair Perfume,Fragrance,TikTok Shop,37100,lifetime displayed,18.15,673365,2026-09-08,medium
Cherry Blossom Dermaplaners,Skin,TikTok Shop,36500,lifetime displayed,7.80,284700,2026-09-08,medium
Banana Clip 2pc,Accessories,TikTok Shop,33700,lifetime displayed,12.19,410803,2026-09-08,medium
Satin Heatless Curling Set,Heatless,TikTok Shop,30900,lifetime displayed,15.36,474624,2026-09-08,medium
Cherry Print Satin Shower Cap,Shower,TikTok Shop,30700,lifetime displayed,23.56,723292,2026-09-08,medium
Rice Water Shampoo & Conditioner Bar Set,Bottle-free,TikTok Shop,23300,lifetime displayed,22.75,530075,2026-09-08,medium
Eco Friendly Nylon Elastics 20pk,Accessories,Target,52000,minimum bought last month,7.99,415480,2026-09-08,medium
Strengthening Rice Water Shampoo 12oz,Hair care,Target,21000,minimum bought last month,13.99,293790,2026-09-08,medium
Strengthening Rice Water Conditioner 12oz,Hair care,Target,19000,minimum bought last month,13.99,265810,2026-09-08,medium
Smoothing Air Dry Cream,Styling,Target,16000,minimum bought last month,14.99,239840,2026-09-08,medium
Moisturizing Curl Cream,Styling,Target,16000,minimum bought last month,14.99,239840,2026-09-08,medium
Oversized Scrunchies Black & Chocolate,Accessories,Target,12000,minimum bought last month,11.99,143880,2026-09-08,medium
Moisturizing Coconut Oil Shampoo,Hair care,Target,9000,minimum bought last month,13.99,125910,2026-09-08,medium
XL Satin Heatless Curling Set,Heatless,Target,6000,minimum bought last month,20.00,120000,2026-09-08,medium
Texturizing Sea Salt Spray,Styling,Target,5000,minimum bought last month,14.99,74950,2026-09-08,medium
