date,channel,observed_asset_or_event,content_system,business_question,source
2026-08-20,Facebook,"College essentials / everyday beauty",Routine utility,"Does college creative recruit new buyers or repackage current demand?",ShopVision
2026-08-21,Pinterest,"Model-off-duty headband",Routine utility,"Which use occasions produce durable saves and outbound clicks?",ShopVision
2026-08-22,Pinterest,"Super Brand Day sale",Offer,"Does promotional traffic retain at the same rate as non-promotional traffic?",ShopVision
2026-08-23,Pinterest,"Besties trade beauty favorites",Creator proof,"Do relationship-led narratives outperform product-only pins?",ShopVision
2026-08-24,TikTok,"One poof; many hair-accessory possibilities",Demo,"Which opening hook and hairstyle drives qualified product views?",ShopVision
2026-08-25,TikTok,"Soft Santal + Caramel Cream",Scent reaction and drop,"Is fragrance a new-customer wedge or a repeat engine?",ShopVision
2026-08-26,Pinterest,"Brooke Monk Set & Flow workout context",Creator utility,"Does fitness-context utility create cross-category baskets?",ShopVision
2026-08-28,Pinterest,"Day at Kitsch / college day-in-the-life",Creator proof,"Which creator narrative produces saves versus purchases?",ShopVision
2026-08-29,Pinterest,"5AM wakeup for hair / Alpha Phi",Routine utility,"Does the college series build recall beyond the launch window?",ShopVision
2026-08-30,Pinterest,"Alpha Phi in-group cue",Community,"How much incremental reach comes from community specificity?",ShopVision
2026-08-31,Instagram,"Good hair day; up/down participation; gift-card prompt",Community,"Does participation improve qualified reach and owned-audience capture?",ShopVision
